"supA"
"Time (sec)","Reaction Force4 (newton)"
1.48865679622551,5.50210620284736
1.49880506973782,5.91382862530907
1.50901191607688,4.99456010554843
1.51918506644811,5.05235355790012
1.52,5.42991288592897
1.52943806192393,6.31076508046521
1.5396054865041,5.40768908920496
1.54995187325006,4.84364463724696
1.55996870234816,6.05259953718799
1.56,6.06801703540523
1.57131920746867,6.20102949017032
1.58150235653211,5.03985945934111
1.59181678378099,6.41066489792894
1.6,5.41352822461614
1.60183978191206,6.22685473489752
1.61278828696216,6.18434466778673
1.62285364205699,4.61107131254035
1.63317249946385,6.2206751789624
1.64,5.87546281183691
1.64330815685677,5.70230118724491
1.65363304871275,4.68984819414186
1.66450835975955,5.61673629373445
1.67460571423415,5.95568701046108
1.68,5.95607636504031
1.68477897316215,5.84073544680748
1.69492316469414,5.0103733489283
